,batch,cluster_number,size
0,0,0,13
1,0,1,6
2,1,0,6
3,1,1,19
4,1,2,21
5,2,0,13
6,2,1,52
7,3,0,56
8,3,1,31
9,4,0,62
10,4,1,42
11,5,0,20
12,5,1,110
13,6,0,65
14,6,1,97
15,7,0,81
16,7,1,34
17,7,2,73
18,8,0,140
19,8,1,68
20,9,0,63
21,9,1,55
22,9,2,109
23,10,0,140
24,10,1,116
25,11,0,144
26,11,1,132
27,12,0,115
28,12,1,177
29,13,0,215
30,13,1,93
31,14,0,156
32,14,1,177
33,15,0,67
34,15,1,294
35,16,0,237
36,16,1,144
37,17,0,245
38,17,1,149
39,18,0,32
40,18,1,182
41,18,2,196
42,19,0,200
43,19,1,235
44,20,0,191
45,20,1,263
46,21,0,198
47,21,1,274
48,22,0,405
49,22,1,77
50,23,0,66
51,23,1,238
52,23,2,205
53,24,0,317
54,24,1,208
55,25,0,219
56,25,1,324
57,26,0,5
58,26,1,560
59,27,0,458
60,27,1,128
61,28,0,95
62,28,1,291
63,28,2,196
64,28,3,27
65,29,0,105
66,29,1,327
67,29,2,195
68,30,0,42
69,30,1,271
70,30,2,330
71,31,0,438
72,31,1,221
73,32,0,184
74,32,1,493
75,33,0,18
76,33,1,680
77,34,0,11
78,34,1,318
79,34,2,395
80,35,0,279
81,35,1,461
82,36,0,331
83,36,1,433
84,37,0,376
85,37,1,324
86,37,2,77
87,37,3,10
88,38,0,440
89,38,1,374
90,39,0,153
91,39,1,167
92,39,2,521
93,40,0,534
94,40,1,328
95,41,0,575
96,41,1,267
97,41,2,38
98,42,0,229
99,42,1,671
100,43,0,852
101,43,1,60
102,44,0,629
103,44,1,304
104,45,0,709
105,45,1,247
106,46,0,115
107,46,1,699
108,46,2,159
109,47,0,63
110,47,1,402
111,47,2,525
112,48,0,231
113,48,1,769
114,49,0,92
115,49,1,908
116,50,0,433
117,50,1,206
118,50,2,361
119,51,0,706
120,51,1,294
121,52,0,397
122,52,1,603
123,53,0,147
124,53,1,190
125,53,2,663
126,54,0,273
127,54,1,727
128,55,0,546
129,55,1,454
130,56,0,336
131,56,1,664
132,57,0,750
133,57,1,250
134,58,0,549
135,58,1,451
136,59,0,325
137,59,1,675
138,60,0,21
139,60,1,770
140,60,2,209
141,61,0,757
142,61,1,243
143,62,0,600
144,62,1,400
145,63,0,141
146,63,1,530
147,63,2,329
148,64,0,446
149,64,1,255
150,64,2,299
151,65,0,92
152,65,1,908
153,66,0,194
154,66,1,806
155,67,0,650
156,67,1,218
157,67,2,132
158,68,0,37
159,68,1,542
160,68,2,421
161,69,0,345
162,69,1,655
163,70,0,128
164,70,1,523
165,70,2,349
166,71,0,503
167,71,1,497
168,72,0,723
169,72,1,277
170,73,0,318
171,73,1,555
172,73,2,52
173,73,3,20
174,73,4,55
175,74,0,367
176,74,1,633
177,75,0,25
178,75,1,975
179,76,0,68
180,76,1,932
181,77,0,670
182,77,1,330
183,78,0,503
184,78,1,36
185,78,2,461
186,79,0,17
187,79,1,115
188,79,2,33
189,79,3,344
190,79,4,491
191,80,0,97
192,80,1,34
193,80,2,869
194,81,0,273
195,81,1,727
196,82,0,963
197,82,1,37
198,83,0,35
199,83,1,646
200,83,2,319
201,84,0,651
202,84,1,349
203,85,0,735
204,85,1,265
205,86,0,124
206,86,1,876
207,87,0,47
208,87,1,490
209,87,2,463
210,88,0,31
211,88,1,716
212,88,2,58
213,88,3,195
214,89,0,509
215,89,1,121
216,89,2,23
217,89,3,96
218,89,4,251
219,90,0,23
220,90,1,36
221,90,2,44
222,90,3,897
223,91,0,169
224,91,1,67
225,91,2,764
226,92,0,199
227,92,1,770
228,92,2,31
229,93,0,40
230,93,1,692
231,93,2,268
232,94,0,38
233,94,1,172
234,94,2,41
235,94,3,749
236,95,0,286
237,95,1,44
238,95,2,26
239,95,3,644
240,96,0,24
241,96,1,117
242,96,2,115
243,96,3,49
244,96,4,36
245,96,5,633
246,96,6,26
247,97,0,946
248,97,1,54
249,98,0,31
250,98,1,969
251,99,0,24
252,99,1,54
253,99,2,922
254,100,0,55
255,100,1,945
256,101,0,75
257,101,1,482
258,101,2,443
259,102,0,42
260,102,1,468
261,102,2,490
262,103,0,463
263,103,1,537
264,104,0,77
265,104,1,896
266,104,2,27
267,105,0,756
268,105,1,100
269,105,2,28
270,105,3,116
271,106,0,47
272,106,1,894
273,106,2,59
274,107,0,691
275,107,1,309
276,108,0,377
277,108,1,24
278,108,2,41
279,108,3,54
280,108,4,504
281,109,0,874
282,109,1,126
283,110,0,924
284,110,1,76
285,111,0,251
286,111,1,66
287,111,2,683
288,112,0,945
289,112,1,55
290,113,0,86
291,113,1,67
292,113,2,847
293,114,0,369
294,114,1,511
295,114,2,120
296,115,0,72
297,115,1,83
298,115,2,211
299,115,3,537
300,115,4,97
301,116,0,645
302,116,1,76
303,116,2,59
304,116,3,220
305,117,0,12
306,117,1,360
307,117,2,72
308,117,3,556
309,118,0,730
310,118,1,73
311,118,2,145
312,118,3,52
313,119,0,916
314,119,1,84
315,120,0,93
316,120,1,469
317,120,2,72
318,120,3,366
319,121,0,676
320,121,1,124
321,121,2,200
322,122,0,193
323,122,1,72
324,122,2,688
325,122,3,47
326,123,0,116
327,123,1,335
328,123,2,72
329,123,3,477
330,124,0,48
331,124,1,92
332,124,2,439
333,124,3,404
334,124,4,17
335,125,0,340
336,125,1,67
337,125,2,593
338,126,0,777
339,126,1,223
340,127,0,63
341,127,1,937
342,128,0,60
343,128,1,940
344,129,0,60
345,129,1,746
346,129,2,194
347,130,0,55
348,130,1,945
349,131,0,777
350,131,1,64
351,131,2,159
352,132,0,946
353,132,1,54
354,133,0,146
355,133,1,854
356,134,0,914
357,134,1,86
358,135,0,903
359,135,1,40
360,135,2,57
361,136,0,619
362,136,1,381
363,137,0,8
364,137,1,958
365,137,2,34
366,138,0,36
367,138,1,964
368,139,0,76
369,139,1,854
370,139,2,34
371,139,3,36
372,140,0,36
373,140,1,614
374,140,2,316
375,140,3,34
376,141,0,34
377,141,1,890
378,141,2,17
379,141,3,59
380,142,0,566
381,142,1,396
382,142,2,38
383,143,0,662
384,143,1,338
385,144,0,215
386,144,1,749
387,144,2,36
388,145,0,34
389,145,1,163
390,145,2,803
391,146,0,110
392,146,1,890
393,147,0,39
394,147,1,733
395,147,2,228
396,148,0,961
397,148,1,39
398,149,0,34
399,149,1,594
400,149,2,372
401,150,0,365
402,150,1,265
403,150,2,34
404,150,3,241
405,150,4,95
406,151,0,355
407,151,1,37
408,151,2,608
409,152,0,156
410,152,1,184
411,152,2,65
412,152,3,34
413,152,4,561
414,153,0,962
415,153,1,38
416,154,0,86
417,154,1,914
418,155,0,34
419,155,1,452
420,155,2,341
421,155,3,173
422,156,0,629
423,156,1,76
424,156,2,224
425,156,3,71
426,157,0,230
427,157,1,35
428,157,2,494
429,157,3,195
430,157,4,46
431,158,0,119
432,158,1,36
433,158,2,49
434,158,3,65
435,158,4,39
436,158,5,686
437,158,6,6
438,159,0,953
439,159,1,47
440,160,0,500
441,160,1,147
442,160,2,128
443,160,3,174
444,160,4,51
445,161,0,34
446,161,1,966
447,162,0,194
448,162,1,708
449,162,2,98
450,163,0,24
451,163,1,34
452,163,2,74
453,163,3,572
454,163,4,296
455,164,0,966
456,164,1,34
457,165,0,951
458,165,1,49
459,166,0,15
460,166,1,443
461,166,2,31
462,166,3,476
463,166,4,35
464,167,0,722
465,167,1,222
466,167,2,56
467,168,0,430
468,168,1,570
469,169,0,383
470,169,1,44
471,169,2,36
472,169,3,537
473,170,0,51
474,170,1,949
475,171,0,56
476,171,1,944
477,172,0,417
478,172,1,34
479,172,2,549
480,173,0,191
481,173,1,57
482,173,2,752
483,174,0,140
484,174,1,41
485,174,2,34
486,174,3,643
487,174,4,142
488,175,0,921
489,175,1,79
490,176,0,80
491,176,1,739
492,176,2,125
493,176,3,56
494,177,0,30
495,177,1,183
496,177,2,787
497,178,0,30
498,178,1,920
499,178,2,50
500,179,0,77
501,179,1,923
502,180,0,31
503,180,1,278
504,180,2,691
505,181,0,130
506,181,1,870
507,182,0,952
508,182,1,48
509,183,0,33
510,183,1,900
511,183,2,67
512,184,0,34
513,184,1,966
514,185,0,12
515,185,1,804
516,185,2,139
517,185,3,45
518,186,0,934
519,186,1,66
520,187,0,330
521,187,1,529
522,187,2,51
523,187,3,90
524,188,0,888
525,188,1,112
526,189,0,38
527,189,1,578
528,189,2,384
529,190,0,21
530,190,1,979
531,191,0,36
532,191,1,422
533,191,2,542
534,192,0,55
535,192,1,140
536,192,2,764
537,192,3,41
538,193,0,40
539,193,1,960
540,194,0,572
541,194,1,380
542,194,2,48
543,195,0,64
544,195,1,276
545,195,2,611
546,195,3,49
547,196,0,544
548,196,1,456
549,197,0,393
550,197,1,32
551,197,2,575
552,198,0,352
553,198,1,648
554,199,0,382
555,199,1,142
556,199,2,436
557,199,3,40
558,200,0,456
559,200,1,425
560,200,2,119
561,201,0,479
562,201,1,521
563,202,0,666
564,202,1,334
565,203,0,639
566,203,1,361
567,204,0,59
568,204,1,941
569,205,0,16
570,205,1,651
571,205,2,308
572,205,3,25
573,206,0,10
574,206,1,49
575,206,2,97
576,206,3,803
577,206,4,41
578,207,0,671
579,207,1,329
580,208,0,175
581,208,1,473
582,208,2,41
583,208,3,8
584,208,4,303
585,209,0,178
586,209,1,822
587,210,0,170
588,210,1,789
589,210,2,41
590,211,0,255
591,211,1,745
592,212,0,76
593,212,1,684
594,212,2,240
595,213,0,25
596,213,1,141
597,213,2,738
598,213,3,96
599,214,0,190
600,214,1,810
601,215,0,241
602,215,1,759
603,216,0,687
604,216,1,313
605,217,0,577
606,217,1,423
607,218,0,702
608,218,1,298
609,219,0,650
610,219,1,350
611,220,0,69
612,220,1,897
613,220,2,20
614,220,3,14
615,221,0,149
616,221,1,851
617,222,0,681
618,222,1,319
619,223,0,21
620,223,1,979
621,224,0,30
622,224,1,208
623,224,2,452
624,224,3,310
625,225,0,507
626,225,1,388
627,225,2,105
628,226,0,251
629,226,1,428
630,226,2,321
631,227,0,548
632,227,1,227
633,227,2,185
634,227,3,40
635,228,0,436
636,228,1,564
637,229,0,649
638,229,1,351
639,230,0,602
640,230,1,398
641,231,0,68
642,231,1,932
643,232,0,633
644,232,1,367
645,233,0,156
646,233,1,844
647,234,0,346
648,234,1,654
649,235,0,199
650,235,1,801
651,236,0,208
652,236,1,792
653,237,0,326
654,237,1,579
655,237,2,95
656,238,0,143
657,238,1,857
658,239,0,118
659,239,1,882
660,240,0,167
661,240,1,833
662,241,0,441
663,241,1,559
664,242,0,124
665,242,1,876
666,243,0,164
667,243,1,690
668,243,2,146
669,244,0,202
670,244,1,798
671,245,0,519
672,245,1,481
673,246,0,328
674,246,1,13
675,246,2,659
676,247,0,407
677,247,1,426
678,247,2,167
679,248,0,725
680,248,1,275
681,249,0,490
682,249,1,510
683,250,0,237
684,250,1,763
685,251,0,15
686,251,1,507
687,251,2,478
688,252,0,16
689,252,1,169
690,252,2,815
691,253,0,265
692,253,1,735
693,254,0,216
694,254,1,499
695,254,2,285
696,255,0,177
697,255,1,823
698,256,0,740
699,256,1,260
700,257,0,797
701,257,1,19
702,257,2,184
703,258,0,187
704,258,1,813
705,259,0,75
706,259,1,925
707,260,0,731
708,260,1,269
709,261,0,76
710,261,1,901
711,261,2,23
712,262,0,323
713,262,1,619
714,262,2,58
715,263,0,641
716,263,1,359
717,264,0,600
718,264,1,294
719,264,2,82
720,264,3,24
721,265,0,32
722,265,1,24
723,265,2,146
724,265,3,113
725,265,4,685
726,266,0,144
727,266,1,856
728,267,0,26
729,267,1,159
730,267,2,23
731,267,3,44
732,267,4,577
733,267,5,171
734,268,0,363
735,268,1,637
736,269,0,710
737,269,1,290
738,270,0,363
739,270,1,612
740,270,2,25
741,271,0,25
742,271,1,489
743,271,2,486
744,272,0,332
745,272,1,549
746,272,2,93
747,272,3,26
748,273,0,56
749,273,1,27
750,273,2,917
751,274,0,28
752,274,1,709
753,274,2,78
754,274,3,185
755,275,0,331
756,275,1,641
757,275,2,28
758,276,0,29
759,276,1,38
760,276,2,28
761,276,3,883
762,276,4,22
763,277,0,30
764,277,1,970
765,278,0,29
766,278,1,79
767,278,2,892
768,279,0,30
769,279,1,825
770,279,2,145
771,280,0,29
772,280,1,135
773,280,2,836
774,281,0,215
775,281,1,29
776,281,2,32
777,281,3,77
778,281,4,647
779,282,0,274
780,282,1,697
781,282,2,29
782,283,0,847
783,283,1,153
784,284,0,131
785,284,1,869
786,285,0,107
787,285,1,864
788,285,2,29
789,286,0,886
790,286,1,114
791,287,0,22
792,287,1,285
793,287,2,30
794,287,3,45
795,287,4,618
796,288,0,968
797,288,1,32
798,289,0,925
799,289,1,44
800,289,2,31
801,290,0,460
802,290,1,540
803,291,0,31
804,291,1,370
805,291,2,76
806,291,3,38
807,291,4,485
808,292,0,576
809,292,1,76
810,292,2,31
811,292,3,317
812,293,0,31
813,293,1,969
814,294,0,31
815,294,1,969
816,295,0,25
817,295,1,298
818,295,2,39
819,295,3,83
820,295,4,468
821,295,5,55
822,295,6,32
823,296,0,308
824,296,1,660
825,296,2,32
826,297,0,35
827,297,1,807
828,297,2,158
829,298,0,32
830,298,1,618
831,298,2,350
832,299,0,640
833,299,1,360
834,300,0,119
835,300,1,848
836,300,2,33
837,301,0,298
838,301,1,33
839,301,2,669
840,302,0,44
841,302,1,34
842,302,2,734
843,302,3,147
844,302,4,30
845,302,5,11
846,303,0,10
847,303,1,592
848,303,2,298
849,303,3,66
850,303,4,34
851,304,0,64
852,304,1,35
853,304,2,368
854,304,3,533
855,305,0,36
856,305,1,964
857,306,0,188
858,306,1,776
859,306,2,36
860,307,0,37
861,307,1,963
862,308,0,513
863,308,1,37
864,308,2,450
865,309,0,37
866,309,1,216
867,309,2,735
868,309,3,12
869,310,0,37
870,310,1,963
871,311,0,38
872,311,1,962
873,312,0,38
874,312,1,962
875,313,0,40
876,313,1,960
877,314,0,101
878,314,1,39
879,314,2,462
880,314,3,398
881,315,0,952
882,315,1,48
883,316,0,39
884,316,1,30
885,316,2,931
886,317,0,137
887,317,1,40
888,317,2,269
889,317,3,273
890,317,4,281
891,318,0,485
892,318,1,241
893,318,2,40
894,318,3,234
895,319,0,165
896,319,1,662
897,319,2,135
898,319,3,38
899,320,0,38
900,320,1,207
901,320,2,755
902,321,0,41
903,321,1,111
904,321,2,261
905,321,3,587
906,322,0,168
907,322,1,199
908,322,2,39
909,322,3,276
910,322,4,318
911,323,0,962
912,323,1,38
913,324,0,12
914,324,1,38
915,324,2,950
916,325,0,37
917,325,1,963
918,326,0,37
919,326,1,39
920,326,2,321
921,326,3,603
922,327,0,345
923,327,1,266
924,327,2,159
925,327,3,192
926,327,4,38
927,328,0,245
928,328,1,755
929,329,0,39
930,329,1,961
931,330,0,39
932,330,1,254
933,330,2,354
934,330,3,353
935,331,0,39
936,331,1,961
937,332,0,352
938,332,1,285
939,332,2,325
940,332,3,38
941,333,0,37
942,333,1,341
943,333,2,105
944,333,3,517
945,334,0,609
946,334,1,38
947,334,2,82
948,334,3,271
949,335,0,154
950,335,1,367
951,335,2,415
952,335,3,39
953,335,4,25
954,336,0,76
955,336,1,480
956,336,2,17
957,336,3,38
958,336,4,290
959,336,5,99
960,337,0,329
961,337,1,671
962,338,0,691
963,338,1,309
964,339,0,959
965,339,1,41
966,340,0,38
967,340,1,662
968,340,2,300
969,341,0,513
970,341,1,426
971,341,2,38
972,341,3,23
973,342,0,558
974,342,1,38
975,342,2,404
976,343,0,39
977,343,1,961
978,344,0,39
979,344,1,504
980,344,2,457
981,345,0,38
982,345,1,962
983,346,0,959
984,346,1,41
985,347,0,47
986,347,1,594
987,347,2,39
988,347,3,320
989,348,0,960
990,348,1,40
991,349,0,26
992,349,1,39
993,349,2,291
994,349,3,115
995,349,4,21
996,349,5,508
997,350,0,207
998,350,1,721
999,350,2,38
1000,350,3,34
1001,351,0,46
1002,351,1,954
1003,352,0,68
1004,352,1,120
1005,352,2,36
1006,352,3,520
1007,352,4,50
1008,352,5,206
1009,353,0,804
1010,353,1,37
1011,353,2,159
1012,354,0,714
1013,354,1,37
1014,354,2,249
1015,355,0,727
1016,355,1,273
1017,356,0,39
1018,356,1,961
1019,357,0,52
1020,357,1,948
1021,358,0,52
1022,358,1,874
1023,358,2,74
1024,359,0,947
1025,359,1,53
1026,360,0,38
1027,360,1,962
1028,361,0,34
1029,361,1,39
1030,361,2,826
1031,361,3,101
1032,362,0,613
1033,362,1,145
1034,362,2,93
1035,362,3,38
1036,362,4,47
1037,362,5,64
1038,363,0,6
1039,363,1,99
1040,363,2,671
1041,363,3,28
1042,363,4,38
1043,363,5,158
1044,364,0,962
1045,364,1,38
1046,365,0,38
1047,365,1,388
1048,365,2,574
1049,366,0,39
1050,366,1,393
1051,366,2,568
1052,367,0,575
1053,367,1,39
1054,367,2,386
1055,368,0,960
1056,368,1,40
1057,369,0,89
1058,369,1,40
1059,369,2,356
1060,369,3,515
1061,370,0,40
1062,370,1,960
1063,371,0,40
1064,371,1,881
1065,371,2,79
1066,372,0,262
1067,372,1,39
1068,372,2,442
1069,372,3,257
1070,373,0,960
1071,373,1,40
1072,374,0,960
1073,374,1,40
1074,375,0,656
1075,375,1,39
1076,375,2,187
1077,375,3,26
1078,375,4,38
1079,375,5,54
1080,376,0,960
1081,376,1,40
1082,377,0,816
1083,377,1,40
1084,377,2,84
1085,377,3,60
1086,378,0,961
1087,378,1,39
1088,379,0,55
1089,379,1,945
1090,380,0,85
1091,380,1,39
1092,380,2,737
1093,380,3,139
1094,381,0,46
1095,381,1,39
1096,381,2,133
1097,381,3,782
1098,382,0,39
1099,382,1,804
1100,382,2,157
1101,383,0,20
1102,383,1,39
1103,383,2,795
1104,383,3,33
1105,383,4,86
1106,383,5,27
1107,384,0,102
1108,384,1,39
1109,384,2,859
1110,385,0,39
1111,385,1,490
1112,385,2,471
1113,386,0,113
1114,386,1,887
1115,387,0,188
1116,387,1,56
1117,387,2,719
1118,387,3,37
1119,388,0,73
1120,388,1,38
1121,388,2,75
1122,388,3,653
1123,388,4,161
1124,389,0,961
1125,389,1,39
1126,390,0,37
1127,390,1,349
1128,390,2,614
1129,391,0,36
1130,391,1,46
1131,391,2,918
1132,392,0,668
1133,392,1,87
1134,392,2,16
1135,392,3,36
1136,392,4,185
1137,392,5,8
1138,393,0,503
1139,393,1,497
1140,394,0,391
1141,394,1,62
1142,394,2,547
1143,395,0,961
1144,395,1,39
1145,396,0,82
1146,396,1,39
1147,396,2,96
1148,396,3,40
1149,396,4,723
1150,396,5,20
1151,397,0,263
1152,397,1,38
1153,397,2,699
1154,398,0,53
1155,398,1,861
1156,398,2,47
1157,398,3,39
1158,399,0,98
1159,399,1,38
1160,399,2,92
1161,399,3,30
1162,399,4,321
1163,399,5,421
1164,400,0,37
1165,400,1,76
1166,400,2,397
1167,400,3,182
1168,400,4,308
1169,401,0,37
1170,401,1,537
1171,401,2,426
1172,402,0,36
1173,402,1,964
1174,403,0,55
1175,403,1,35
1176,403,2,28
1177,403,3,597
1178,403,4,29
1179,403,5,52
1180,403,6,204
1181,404,0,33
1182,404,1,167
1183,404,2,433
1184,404,3,325
1185,404,4,42
1186,405,0,46
