,Clusters,RTs,Total_tweets,CumRT
0,2,81,100,81
1,3,73,200,154
2,2,81,300,235
3,2,78,400,313
4,2,83,500,396
5,2,74,600,470
6,2,68,700,538
7,3,74,800,612
8,2,80,900,692
9,3,81,1000,773
10,2,71,1100,844
11,2,80,1200,924
12,2,84,1300,1008
13,2,84,1400,1092
14,2,75,1500,1167
15,2,72,1600,1239
16,2,80,1700,1319
17,2,87,1800,1406
18,3,84,1900,1490
19,2,75,2000,1565
20,2,81,2100,1646
21,2,82,2200,1728
22,2,90,2300,1818
23,3,73,2400,1891
24,2,84,2500,1975
25,2,82,2600,2057
26,2,78,2700,2135
27,2,79,2800,2214
28,4,77,2900,2291
29,3,82,3000,2373
30,3,84,3100,2457
31,2,84,3200,2541
32,2,82,3300,2623
33,2,79,3400,2702
34,3,74,3500,2776
35,2,84,3600,2860
36,2,76,3700,2936
37,4,77,3800,3013
38,2,73,3900,3086
39,3,73,4000,3159
40,2,79,4100,3238
41,3,82,4200,3320
42,2,80,4300,3400
43,2,88,4400,3488
44,2,79,4500,3567
45,2,77,4600,3644
46,3,83,4700,3727
47,3,83,4800,3810
48,2,80,4900,3890
49,2,73,5000,3963
50,3,79,5100,4042
51,2,80,5200,4122
52,2,84,5300,4206
53,3,81,5400,4287
54,2,73,5500,4360
55,2,84,5600,4444
56,2,73,5700,4517
57,2,77,5800,4594
58,2,74,5900,4668
59,2,83,6000,4751
60,3,78,6100,4829
61,2,74,6200,4903
62,2,86,6300,4989
63,3,78,6400,5067
64,3,84,6500,5151
65,2,78,6600,5229
66,2,82,6700,5311
67,3,80,6800,5391
68,3,80,6900,5471
69,2,75,7000,5546
70,3,72,7100,5618
71,2,83,7200,5701
72,2,77,7300,5778
73,5,86,7400,5864
74,2,74,7500,5938
75,2,72,7600,6010
76,2,85,7700,6095
77,2,74,7800,6169
78,3,82,7900,6251
79,5,80,8000,6331
80,3,79,8100,6410
81,2,77,8200,6487
82,2,75,8300,6562
83,3,73,8400,6635
84,2,71,8500,6706
85,2,80,8600,6786
86,2,61,8700,6847
87,3,77,8800,6924
88,4,69,8900,6993
89,5,85,9000,7078
90,4,67,9100,7145
91,3,62,9200,7207
92,3,76,9300,7283
93,3,71,9400,7354
94,4,74,9500,7428
95,4,74,9600,7502
96,7,73,9700,7575
97,2,82,9800,7657
98,2,70,9900,7727
99,3,81,10000,7808
100,2,79,10100,7887
101,3,78,10200,7965
102,3,74,10300,8039
103,2,74,10400,8113
104,3,67,10500,8180
105,4,81,10600,8261
106,3,76,10700,8337
107,2,82,10800,8419
108,5,83,10900,8502
109,2,73,11000,8575
110,2,79,11100,8654
111,3,70,11200,8724
112,2,71,11300,8795
113,3,79,11400,8874
114,3,78,11500,8952
115,5,62,11600,9014
116,4,88,11700,9102
117,4,85,11800,9187
118,4,69,11900,9256
119,2,84,12000,9340
120,4,84,12100,9424
121,3,66,12200,9490
122,4,77,12300,9567
123,4,83,12400,9650
124,5,81,12500,9731
125,3,69,12600,9800
126,2,83,12700,9883
127,2,73,12800,9956
128,2,79,12900,10035
129,3,77,13000,10112
130,2,78,13100,10190
131,3,75,13200,10265
132,2,85,13300,10350
133,2,77,13400,10427
134,2,49,13500,10476
135,3,83,13600,10559
136,2,80,13700,10639
137,3,81,13800,10720
138,2,78,13900,10798
139,4,78,14000,10876
140,4,80,14100,10956
141,4,77,14200,11033
142,3,72,14300,11105
143,2,80,14400,11185
144,3,72,14500,11257
145,3,66,14600,11323
146,2,70,14700,11393
147,3,70,14800,11463
148,2,83,14900,11546
149,3,79,15000,11625
150,5,74,15100,11699
151,3,84,15200,11783
152,5,80,15300,11863
153,2,82,15400,11945
154,2,80,15500,12025
155,4,82,15600,12107
156,4,79,15700,12186
157,5,72,15800,12258
158,7,78,15900,12336
159,2,79,16000,12415
160,5,76,16100,12491
161,2,73,16200,12564
162,3,81,16300,12645
163,5,76,16400,12721
164,2,78,16500,12799
165,2,79,16600,12878
166,5,67,16700,12945
167,3,75,16800,13020
168,2,72,16900,13092
169,4,75,17000,13167
170,2,87,17100,13254
171,2,78,17200,13332
172,3,76,17300,13408
173,3,71,17400,13479
174,5,83,17500,13562
175,2,84,17600,13646
176,4,88,17700,13734
177,3,78,17800,13812
178,3,70,17900,13882
179,2,84,18000,13966
180,3,88,18100,14054
181,2,80,18200,14134
182,2,84,18300,14218
183,3,87,18400,14305
184,2,79,18500,14384
185,4,75,18600,14459
186,2,84,18700,14543
187,4,75,18800,14618
188,2,71,18900,14689
189,3,81,19000,14770
190,2,71,19100,14841
191,3,70,19200,14911
192,4,73,19300,14984
193,2,74,19400,15058
194,3,79,19500,15137
195,4,79,19600,15216
196,2,77,19700,15293
197,3,82,19800,15375
198,2,78,19900,15453
199,4,85,20000,15538
200,3,79,20100,15617
201,2,79,20200,15696
202,2,76,20300,15772
203,2,80,20400,15852
204,2,85,20500,15937
205,4,82,20600,16019
206,5,81,20700,16100
207,2,69,20800,16169
208,5,85,20900,16254
209,2,77,21000,16331
210,3,86,21100,16417
211,2,79,21200,16496
212,3,75,21300,16571
213,4,89,21400,16660
214,2,72,21500,16732
215,2,76,21600,16808
216,2,79,21700,16887
217,2,86,21800,16973
218,2,74,21900,17047
219,2,76,22000,17123
220,4,78,22100,17201
221,2,83,22200,17284
222,2,69,22300,17353
223,2,71,22400,17424
224,4,78,22500,17502
225,3,65,22600,17567
226,3,79,22700,17646
227,4,81,22800,17727
228,2,79,22900,17806
229,2,75,23000,17881
230,2,74,23100,17955
231,2,79,23200,18034
232,2,80,23300,18114
233,2,83,23400,18197
234,2,77,23500,18274
235,2,77,23600,18351
236,2,77,23700,18428
237,3,85,23800,18513
238,2,81,23900,18594
239,2,85,24000,18679
240,2,77,24100,18756
241,2,79,24200,18835
242,2,76,24300,18911
243,3,75,24400,18986
244,2,76,24500,19062
245,2,77,24600,19139
246,3,78,24700,19217
247,3,69,24800,19286
248,2,72,24900,19358
249,2,84,25000,19442
250,2,74,25100,19516
251,3,78,25200,19594
252,3,65,25300,19659
253,2,68,25400,19727
254,3,87,25500,19814
255,2,73,25600,19887
256,2,67,25700,19954
257,3,76,25800,20030
258,2,68,25900,20098
259,2,74,26000,20172
260,2,78,26100,20250
261,3,78,26200,20328
262,3,74,26300,20402
263,2,74,26400,20476
264,4,81,26500,20557
265,5,79,26600,20636
266,2,80,26700,20716
267,6,82,26800,20798
268,2,79,26900,20877
269,2,78,27000,20955
270,3,77,27100,21032
271,3,78,27200,21110
272,4,70,27300,21180
273,3,77,27400,21257
274,4,75,27500,21332
275,3,76,27600,21408
276,5,69,27700,21477
277,2,77,27800,21554
278,3,82,27900,21636
279,3,81,28000,21717
280,3,74,28100,21791
281,5,78,28200,21869
282,3,77,28300,21946
283,2,77,28400,22023
284,2,80,28500,22103
285,3,73,28600,22176
286,2,75,28700,22251
287,5,72,28800,22323
288,2,79,28900,22402
289,3,83,29000,22485
290,2,80,29100,22565
291,5,77,29200,22642
292,4,79,29300,22721
293,2,76,29400,22797
294,2,74,29500,22871
295,7,77,29600,22948
296,3,78,29700,23026
297,3,81,29800,23107
298,3,74,29900,23181
299,2,82,30000,23263
300,3,80,30100,23343
301,3,72,30200,23415
302,6,77,30300,23492
303,5,81,30400,23573
304,4,81,30500,23654
305,2,83,30600,23737
306,3,82,30700,23819
307,2,76,30800,23895
308,3,77,30900,23972
309,4,77,31000,24049
310,2,81,31100,24130
311,2,70,31200,24200
312,2,82,31300,24282
313,2,81,31400,24363
314,4,75,31500,24438
315,2,80,31600,24518
316,3,75,31700,24593
317,5,78,31800,24671
318,4,82,31900,24753
319,4,76,32000,24829
320,3,78,32100,24907
321,4,81,32200,24988
322,5,69,32300,25057
323,2,79,32400,25136
324,3,78,32500,25214
325,2,78,32600,25292
326,4,79,32700,25371
327,5,79,32800,25450
328,2,82,32900,25532
329,2,81,33000,25613
330,4,74,33100,25687
331,2,75,33200,25762
332,4,77,33300,25839
333,4,71,33400,25910
334,4,77,33500,25987
335,5,78,33600,26065
336,6,78,33700,26143
337,2,84,33800,26227
338,2,73,33900,26300
339,2,70,34000,26370
340,3,78,34100,26448
341,4,79,34200,26527
342,3,82,34300,26609
343,2,74,34400,26683
344,3,80,34500,26763
345,2,86,34600,26849
346,2,81,34700,26930
347,4,83,34800,27013
348,2,81,34900,27094
349,6,88,35000,27182
350,4,75,35100,27257
351,2,70,35200,27327
352,6,78,35300,27405
353,3,77,35400,27482
354,3,73,35500,27555
355,2,80,35600,27635
356,2,78,35700,27713
357,2,72,35800,27785
358,3,76,35900,27861
359,2,79,36000,27940
360,2,68,36100,28008
361,4,87,36200,28095
362,6,78,36300,28173
363,6,69,36400,28242
364,2,77,36500,28319
365,3,72,36600,28391
366,3,77,36700,28468
367,3,73,36800,28541
368,2,80,36900,28621
369,4,79,37000,28700
370,2,75,37100,28775
371,3,76,37200,28851
372,4,68,37300,28919
373,2,82,37400,29001
374,2,73,37500,29074
375,6,83,37600,29157
376,2,75,37700,29232
377,4,75,37800,29307
378,2,83,37900,29390
379,2,74,38000,29464
380,4,79,38100,29543
381,4,82,38200,29625
382,3,77,38300,29702
383,6,74,38400,29776
384,3,79,38500,29855
385,3,78,38600,29933
386,2,77,38700,30010
387,4,84,38800,30094
388,5,77,38900,30171
389,2,76,39000,30247
390,3,74,39100,30321
391,3,76,39200,30397
392,6,71,39300,30468
393,2,74,39400,30542
394,3,79,39500,30621
395,2,78,39600,30699
396,6,69,39700,30768
397,3,84,39800,30852
398,4,78,39900,30930
399,6,82,40000,31012
400,5,75,40100,31087
401,3,79,40200,31166
402,2,77,40300,31243
403,7,63,40400,31306
404,5,73,40500,31379
405,2,71,40600,31450
406,2,77,40700,31527
407,3,76,40800,31603
408,3,79,40900,31682
409,3,84,41000,31766
410,4,83,41100,31849
411,4,69,41200,31918
412,4,88,41300,32006
413,4,77,41400,32083
414,4,75,41500,32158
415,6,80,41600,32238
416,3,76,41700,32314
417,3,88,41800,32402
418,2,79,41900,32481
419,5,77,42000,32558
420,2,71,42100,32629
421,3,65,42200,32694
422,3,71,42300,32765
423,3,82,42400,32847
424,2,84,42500,32931
425,2,78,42600,33009
426,4,75,42700,33084
427,2,81,42800,33165
428,2,75,42900,33240
429,3,76,43000,33316
430,2,75,43100,33391
431,3,66,43200,33457
432,2,90,43300,33547
433,2,78,43400,33625
434,2,82,43500,33707
435,3,75,43600,33782
436,2,82,43700,33864
437,4,85,43800,33949
438,2,67,43900,34016
439,2,77,44000,34093
440,2,78,44100,34171
441,2,68,44200,34239
442,2,86,44300,34325
443,2,81,44400,34406
444,3,85,44500,34491
445,3,78,44600,34569
446,2,86,44700,34655
447,2,88,44800,34743
448,2,80,44900,34823
449,6,78,45000,34901
450,3,75,45100,34976
451,2,76,45200,35052
452,3,84,45300,35136
453,2,83,45400,35219
454,2,75,45500,35294
455,2,75,45600,35369
456,2,75,45700,35444
457,2,75,45800,35519
458,2,78,45900,35597
459,2,79,46000,35676
460,3,74,46100,35750
461,2,74,46200,35824
462,2,79,46300,35903
463,2,81,46400,35984
464,2,72,46500,36056
465,2,72,46600,36128
466,5,74,46700,36202
467,2,81,46800,36283
468,2,77,46900,36360
469,3,80,47000,36440
470,2,82,47100,36522
471,2,75,47200,36597
472,2,74,47300,36671
473,2,74,47400,36745
474,3,74,47500,36819
475,3,88,47600,36907
476,3,63,47700,36970
477,2,67,47800,37037
478,2,81,47900,37118
479,2,74,48000,37192
480,4,80,48100,37272
481,2,82,48200,37354
482,2,72,48300,37426
483,2,74,48400,37500
484,2,83,48500,37583
485,2,75,48600,37658
486,2,89,48700,37747
487,3,81,48800,37828
488,3,77,48900,37905
489,4,74,49000,37979
490,2,83,49100,38062
491,2,83,49200,38145
492,3,82,49300,38227
493,3,74,49400,38301
494,2,73,49500,38374
495,3,81,49600,38455
496,4,85,49700,38540
497,6,80,49800,38620
498,2,78,49900,38698
499,2,77,50000,38775
500,3,77,50100,38852
501,3,78,50200,38930
502,2,87,50300,39017
503,2,78,50400,39095
504,2,76,50500,39171
505,3,81,50600,39252
506,3,81,50700,39333
507,2,74,50800,39407
508,2,81,50900,39488
509,3,74,51000,39562
510,2,73,51100,39635
511,2,79,51200,39714
512,2,79,51300,39793
513,3,81,51400,39874
514,3,74,51500,39948
515,2,78,51600,40026
516,2,79,51700,40105
517,3,77,51800,40182
518,4,81,51900,40263
519,2,81,52000,40344
520,2,81,52100,40425
521,3,80,52200,40505
522,2,83,52300,40588
523,4,79,52400,40667
524,2,80,52500,40747
525,2,81,52600,40828
526,2,81,52700,40909
527,2,88,52800,40997
528,4,77,52900,41074
529,2,72,53000,41146
530,2,74,53100,41220
531,2,73,53200,41293
532,2,78,53300,41371
533,2,68,53400,41439
534,2,78,53500,41517
535,3,86,53600,41603
536,2,80,53700,41683
537,2,77,53800,41760
538,2,83,53900,41843
539,3,79,54000,41922
540,2,83,54100,42005
541,2,88,54200,42093
542,2,82,54300,42175
543,3,73,54400,42248
544,2,84,54500,42332
545,3,81,54600,42413
546,2,77,54700,42490
547,2,78,54800,42568
548,3,73,54900,42641
549,3,74,55000,42715
550,2,68,55100,42783
551,2,81,55200,42864
552,3,82,55300,42946
553,2,73,55400,43019
554,2,84,55500,43103
555,2,78,55600,43181
556,2,77,55700,43258
557,2,73,55800,43331
558,2,70,55900,43401
559,2,84,56000,43485
560,3,83,56100,43568
561,2,70,56200,43638
562,2,80,56300,43718
563,2,78,56400,43796
564,3,79,56500,43875
565,2,73,56600,43948
566,2,77,56700,44025
567,2,79,56800,44104
568,2,71,56900,44175
569,2,73,57000,44248
570,2,74,57100,44322
571,4,76,57200,44398
572,2,71,57300,44469
573,2,72,57400,44541
574,2,72,57500,44613
575,3,79,57600,44692
576,3,75,57700,44767
577,3,81,57800,44848
578,2,82,57900,44930
579,3,88,58000,45018
580,2,78,58100,45096
581,2,82,58200,45178
582,2,83,58300,45261
583,2,83,58400,45344
584,2,75,58500,45419
585,2,75,58600,45494
586,3,70,58700,45564
587,3,83,58800,45647
588,2,81,58900,45728
589,2,80,59000,45808
590,2,78,59100,45886
591,3,77,59200,45963
592,2,80,59300,46043
593,2,76,59400,46119
594,2,79,59500,46198
595,2,82,59600,46280
596,4,77,59700,46357
597,2,78,59800,46435
598,2,73,59900,46508
599,2,78,60000,46586
600,3,85,60100,46671
601,2,78,60200,46749
602,3,80,60300,46829
603,4,74,60400,46903
604,5,81,60500,46984
605,3,83,60600,47067
606,3,75,60700,47142
607,4,78,60800,47220
608,2,84,60900,47304
609,3,79,61000,47383
610,2,71,61100,47454
611,5,80,61200,47534
612,3,78,61300,47612
613,2,62,61400,47674
614,3,87,61500,47761
615,2,77,61600,47838
616,2,83,61700,47921
617,2,77,61800,47998
618,2,76,61900,48074
619,2,80,62000,48154
620,4,78,62100,48232
621,2,75,62200,48307
622,2,72,62300,48379
623,2,72,62400,48451
624,2,76,62500,48527
625,2,85,62600,48612
626,2,73,62700,48685
627,3,78,62800,48763
628,2,75,62900,48838
629,2,68,63000,48906
630,2,78,63100,48984
631,2,69,63200,49053
632,2,70,63300,49123
633,4,59,63400,49182
634,2,64,63500,49246
635,4,68,63600,49314
636,9,74,63700,49388
637,7,79,63800,49467
638,4,80,63900,49547
639,4,88,64000,49635
640,6,77,64100,49712
641,2,78,64200,49790
642,7,78,64300,49868
643,2,81,64400,49949
644,5,80,64500,50029
645,5,76,64600,50105
646,2,82,64700,50187
647,2,76,64800,50263
648,2,76,64900,50339
649,4,78,65000,50417
650,2,78,65100,50495
651,2,74,65200,50569
652,2,74,65300,50643
653,2,77,65400,50720
654,2,77,65500,50797
655,3,79,65600,50876
656,5,75,65700,50951
657,2,80,65800,51031
658,7,76,65900,51107
659,2,80,66000,51187
660,3,75,66100,51262
661,2,73,66200,51335
662,6,76,66300,51411
663,2,69,66400,51480
664,2,70,66500,51550
665,3,78,66600,51628
666,3,73,66700,51701
667,4,80,66800,51781
668,2,81,66900,51862
669,5,80,67000,51942
670,4,77,67100,52019
671,5,80,67200,52099
672,2,77,67300,52176
673,3,82,67400,52258
674,2,77,67500,52335
675,4,76,67600,52411
676,3,81,67700,52492
677,3,77,67800,52569
678,3,71,67900,52640
679,2,76,68000,52716
680,2,69,68100,52785
681,3,72,68200,52857
682,2,76,68300,52933
683,2,74,68400,53007
684,2,86,68500,53093
685,3,83,68600,53176
686,2,74,68700,53250
687,4,78,68800,53328
688,2,79,68900,53407
689,2,87,69000,53494
690,2,84,69100,53578
691,3,77,69200,53655
692,2,79,69300,53734
693,5,86,69400,53820
694,2,89,69500,53909
695,3,81,69600,53990
696,3,88,69700,54078
697,2,78,69800,54156
698,2,78,69900,54234
699,2,71,70000,54305
700,2,84,70100,54389
701,2,86,70200,54475
702,2,85,70300,54560
703,4,90,70400,54650
704,2,76,70500,54726
705,2,80,70600,54806
706,2,83,70700,54889
707,2,88,70800,54977
708,2,93,70900,55070
709,2,78,71000,55148
710,3,88,71100,55236
711,2,86,71200,55322
712,2,78,71300,55400
713,2,82,71400,55482
714,3,91,71500,55573
715,3,85,71600,55658
716,2,75,71700,55733
717,3,77,71800,55810
718,3,75,71900,55885
719,2,84,72000,55969
720,2,82,72100,56051
721,2,78,72200,56129
722,2,79,72300,56208
723,2,81,72400,56289
724,4,78,72500,56367
725,3,80,72600,56447
726,2,80,72700,56527
727,2,82,72800,56609
728,3,81,72900,56690
729,2,76,73000,56766
730,2,81,73100,56847
731,2,77,73200,56924
732,2,88,73300,57012
733,2,87,73400,57099
734,2,75,73500,57174
735,2,81,73600,57255
736,3,79,73700,57334
737,2,82,73800,57416
738,2,79,73900,57495
739,2,77,74000,57572
740,2,79,74100,57651
741,3,82,74200,57733
742,2,88,74300,57821
743,2,80,74400,57901
744,2,78,74500,57979
745,2,83,74600,58062
746,2,89,74700,58151
747,3,79,74800,58230
748,2,76,74900,58306
749,2,84,75000,58390
750,2,76,75100,58466
751,2,82,75200,58548
752,2,74,75300,58622
753,2,84,75400,58706
754,3,82,75500,58788
755,3,85,75600,58873
756,2,79,75700,58952
757,3,82,75800,59034
758,3,80,75900,59114
759,2,80,76000,59194
760,4,80,76100,59274
761,2,85,76200,59359
762,2,79,76300,59438
763,2,73,76400,59511
764,2,77,76500,59588
765,3,82,76600,59670
766,3,80,76700,59750
767,5,76,76800,59826
768,2,74,76900,59900
769,4,79,77000,59979
770,3,85,77100,60064
771,2,88,77200,60152
772,4,73,77300,60225
773,4,74,77400,60299
774,2,71,77500,60370
775,2,80,77600,60450
776,3,76,77700,60526
777,3,84,77800,60610
778,2,79,77900,60689
779,3,75,78000,60764
780,2,78,78100,60842
781,2,79,78200,60921
782,3,73,78300,60994
783,4,78,78400,61072
784,2,79,78500,61151
785,2,74,78600,61225
786,4,79,78700,61304
787,3,79,78800,61383
788,3,81,78900,61464
789,2,83,79000,61547
790,3,74,79100,61621
791,3,71,79200,61692
792,2,82,79300,61774
793,2,71,79400,61845
794,3,78,79500,61923
795,2,77,79600,62000
796,2,76,79700,62076
797,3,89,79800,62165
798,2,81,79900,62246
799,2,87,80000,62333
800,2,91,80100,62424
801,2,88,80200,62512
802,3,87,80300,62599
803,3,80,80400,62679
804,2,85,80500,62764
805,2,76,80600,62840
806,3,75,80700,62915
807,3,74,80800,62989
808,2,71,80900,63060
809,2,81,81000,63141
810,3,72,81100,63213
811,5,77,81200,63290
812,2,70,81300,63360
813,3,81,81400,63441
814,2,76,81500,63517
815,4,73,81600,63590
816,3,79,81700,63669
817,2,85,81800,63754
818,2,81,81900,63835
819,2,73,82000,63908
